,Company,Industry,Est.Year,RevenueinCr,Rev%chng,NOIinCr,NOI%chng,ProfitinCr,Profit%chng,AssetsinCr,Assets%chng,NetWorthinCr,Netwrth%chng,EquityDividendinCr,EquityDividend%chng,EmployeeCostinCr,EmployeeCost%chng,RevProfitRatio,AssetsProfitRatio,NetwrtProfitRatio
0,Reliance Industries,Oil & Gas,1973.0,580553.0,41.5,567135.0,44.8,39588.0,9.74,719829.0,31.28,387112.0,31.89,0.0,0.0,12488.0,31.14,6.82,5.5,10.23
1,Indian Oil Corporation,Oil & Gas,1959.0,535793.18,26.26,528148.93,25.3,17376.7,-21.69,215539.11,15.89,112469.24,-1.23,7775.62,-13.65,11596.28,8.57,3.24,8.06,15.45
2,Oil & Natural Gas Corporation,Oil & Gas,,436057.04,30.89,421385.29,30.58,30494.96,37.95,373902.1,5.83,218140.77,6.92,0.0,0.0,15852.07,5.89,6.99,8.16,13.98
3,State Bank of India,Banking,1955.0,330687.36,7.88,253322.14,10.64,2299.64,0.0,3734917.0,8.53,209841.72,2.13,0.0,0.0,43795.01,23.68,0.7,0.06,1.1
4,Tata Motors,Auto,1945.0,303227.41,0.68,301938.4,3.56,-28826.23,0.0,195447.73,-6.82,60179.56,-36.94,0.0,0.0,33243.87,9.72,-9.51,-14.75,0.0
5,Bharat Petroleum Corporation,Oil & Gas,1952.0,302806.71,26.88,298225.59,26.42,7802.3,-13.39,87552.17,12.57,38764.72,5.86,2386.18,-21.43,3984.81,6.3,2.58,8.91,20.13
6,Rajesh Exports,Gems & Jewellery,1995.0,175830.66,-6.35,175763.12,-6.35,1292.13,2.08,15172.75,-6.02,8840.05,23.21,0.0,0.0,152.19,3.67,0.73,8.52,14.62
7,Tata Steel,Iron & Steel,1907.0,159835.46,15.57,157668.78,27.93,10218.33,-23.94,180561.86,10.85,68925.08,13.23,0.0,0.0,18758.87,10.54,6.39,5.66,14.83
8,Coal India,Metals & Mining,1973.0,152271.3,14.84,147253.81,13.89,17461.85,148.09,87644.32,12.89,26453.92,31.1,8105.58,-20.86,38801.97,-9.02,11.47,19.92,66.01
9,Tata Consultancy Services,Infotech,1995.0,150774.0,18.96,146463.0,18.98,31472.0,21.86,91835.0,4.97,89254.0,4.74,0.0,0.0,78246.0,17.85,20.87,34.27,35.26
10,Larsen & Toubro,Capital Goods,1946.0,144021.04,17.32,141007.09,17.82,8905.13,20.83,195668.3,16.07,62374.8,13.61,0.0,0.0,18100.58,18.53,6.18,4.55,14.28
11,ICICI Bank,Banking,1994.0,131306.5,10.37,71981.65,15.8,4254.24,-44.84,1164853.75,9.55,111183.41,3.33,0.0,0.0,9425.26,13.1,3.24,0.37,3.83
12,Hindalco Industries,Metals & Mining,1958.0,131284.2,9.0,130542.25,13.33,5495.67,-9.65,118822.69,2.97,57501.73,4.83,0.0,0.0,9076.73,4.83,4.19,4.63,9.56
13,HDFC Bank,Banking,1994.0,124107.79,22.46,105160.74,23.3,22332.43,20.65,1234409.91,17.03,153672.66,40.21,0.0,0.0,10451.15,13.67,17.99,1.81,14.53
14,Mahindra & Mahindra,Auto,1945.0,109482.57,13.6,104720.68,13.71,5315.46,-29.23,129799.06,19.56,39983.41,8.72,0.0,0.0,11563.89,15.59,4.86,4.1,13.29
15,HDFC,NBFC,1977.0,103584.69,20.79,95693.52,20.41,16231.76,35.49,505717.02,16.49,111733.14,21.62,3381.9,13.72,2967.37,-12.58,15.67,3.21,14.53
16,NTPC,Power,1975.0,98274.63,4.8,95742.03,8.69,12640.02,19.88,277391.89,15.78,110036.99,6.25,2951.88,31.14,6041.52,4.92,12.86,4.56,11.49
17,Vedanta,Metals & Mining,1965.0,96314.0,-5.31,92048.0,0.2,7065.0,-31.69,152423.0,5.49,62297.0,-1.6,7005.0,-11.12,3023.0,21.11,7.34,4.64,11.34
18,Maruti Suzuki India,Auto,1981.0,88574.2,8.05,86068.5,7.84,7649.1,-2.93,49345.9,11.37,47092.1,10.65,0.0,0.0,3285.0,14.72,8.64,15.5,16.24
19,Nayara Energy,Oil & gas,1989.0,87519.0,19.86,85622.7,20.88,678.9,17.93,48224.0,5.79,18953.3,4.13,0.0,0.0,535.7,7.55,0.78,1.41,3.58
20,Bharti Airtel,Telecommunication,1995.0,86581.3,1.08,80780.2,-2.25,409.5,-62.74,219195.8,10.89,71422.2,2.71,1204.8,-11.83,3797.5,-4.52,0.47,0.19,0.57
21,Infosys,Infotech,1981.0,85557.0,15.88,82675.0,17.23,15404.0,-3.9,65428.0,0.28,64948.0,0.04,0.0,0.0,45315.0,16.51,18.0,23.54,23.72
22,JSW Steel,Iron & Steel,1994.0,85551.0,18.99,84757.0,17.83,7639.0,22.93,86753.0,27.35,34795.0,24.28,0.0,0.0,2489.0,35.05,8.93,8.81,21.95
23,GAIL (India),Oil & Gas,1984.0,78729.49,41.85,76189.89,39.81,6545.74,36.4,53676.64,12.14,46004.1,10.38,1409.42,8.93,2078.84,39.45,8.31,12.19,14.23
24,Grasim Industries,Diversified,1947.0,74098.13,29.75,72970.64,30.55,1771.92,-33.85,203480.5,9.36,55773.23,-2.77,0.0,0.0,5193.42,30.08,2.39,0.87,3.18
25,Steel Authority of India,Iron & Steel,1973.0,70407.04,21.63,66973.49,16.48,2348.71,0.0,90702.47,3.48,39646.15,7.31,0.0,0.0,8949.82,-1.87,3.34,2.59,5.92
26,Axis Bank,Banking,1993.0,70232.4,20.1,56043.65,20.23,5038.59,1005.39,779882.99,15.42,67802.62,5.6,0.0,0.0,5989.87,10.63,7.17,0.65,7.43
27,Motherson Sumi Systems,Auto Ancillaries,1986.0,64021.3,12.64,63522.9,12.82,1613.1,1.01,27298.1,11.68,10962.7,10.91,0.0,0.0,14169.4,28.02,2.52,5.91,14.71
28,Wipro,Infotech,1945.0,61700.0,8.27,59018.9,8.32,9003.7,12.51,68261.3,6.6,56422.6,17.73,450.5,0.13,29977.4,10.12,14.59,13.19,15.96
29,HCL Technologies,Infotech,1991.0,61289.0,18.56,60427.0,19.49,10120.0,16.04,47268.0,24.06,41366.0,13.69,1099.0,-34.23,29283.0,18.42,16.51,21.41,24.46
